Шкала,DeepSeek_simple_prompt,DeepSeek,YandexGPT 5 Pro,ChatGPT-4o,MistralAI,Qwen2.5-MAX,GROK-3,TEZAL
Шкала ипохондрии (HS),50,43,40,40,45,48,42,37
Шкала депрессии (D),45,38,30,35,38,38,38,35
Шкала истерии (Hy),65,55,65,42,52,62,55,65
Шкала психопатии (Pd),70,68,55,55,60,68,62,48.5
Шкала маскулинности-феминности (Mf),60,52,50,50,55,53,48,57.5
Шкала паранойи (Pa),55,47,45,35,40,44,45,44.5
Шкала психастении (Pt),45,41,35,35,42,42,40,47
Шкала шизофрении (Sc),55,45,48,30,48,51,52,52
Шкала гипомании (Ma),75,72,75,70,65,67,68,68
Шкала социальной интроверсии (Si),35,36,38,30,35,37,44,25
